Symbol,Sector,Current Price
TRGP,Energy,69.65
TGT,Consumer Staples,154.18
TEL,Information Technology,123.09
TDY,Information Technology,417.72
TFX,Health Care,245.19
TER,Information Technology,98.57
TSLA,Consumer Discretionary,176.89
TXN,Information Technology,169.81
TXT,Industrials,65.28
TMO,Health Care,523.54
TJX,Consumer Discretionary,79.27
TSCO,Consumer Discretionary,230.56
TT,Industrials,175.17
TDG,Industrials,826.05
TRV,Financials,183.34
TRMB,Information Technology,48.82
TFC,Financials,29.84
TYL,Information Technology,399.77
TSN,Consumer Staples,49.97
USB,Financials,30.49
UDR,Real Estate,40.23
ULTA,Consumer Discretionary,513.61
UNP,Industrials,198.81
UAL,Industrials,48.13
UPS,Industrials,171.04
URI,Industrials,344.64
UNH,Health Care,479.23
UHS,Health Care,135.84
VLO,Energy,111.55
VTR,Real Estate,45.05
VRSN,Information Technology,225.92
VRSK,Industrials,220.63
VZ,Communication Services,36.13
VRTX,Health Care,339.46
VFC,Consumer Discretionary,20.77
VTRS,Health Care,9.37
VICI,Real Estate,31.37
V,Financials,233.6
VMC,Materials,196.41
WAB,Industrials,97.5
WBA,Consumer Staples,31.46
WMT,Consumer Staples,151.47
WBD,Communication Services,12.4
WM,Industrials,165.0
WAT,Health Care,268.05
WEC,Utilities,89.34
WFC,Financials,40.21
WELL,Real Estate,76.88
WST,Health Care,350.74
WDC,Information Technology,38.74
WRK,Materials,27.59
WY,Real Estate,29.52
WHR,Consumer Discretionary,133.65
WMB,Energy,29.21
WTW,Financials,227.5
GWW,Industrials,679.29
WYNN,Consumer Discretionary,110.3
XEL,Utilities,65.87
XYL,Industrials,104.43
YUM,Consumer Discretionary,138.45
ZBRA,Information Technology,279.33
ZBH,Health Care,135.02
ZION,Financials,27.24
ZTS,Health Care,179.72
