Symbol,Sector,Current Price
BMKS3,Consumer Cyclical,300.0
BNBR3,Financial Services,91.96
BOBR4,Consumer Defensive,1.68
BRIV3,Financial Services,11.35
BRIV4,Financial Services,11.39
BSLI4,Financial Services,12.1
CBEE3,Utilities,13.54
CEEB3,Utilities,38.6584
CEEB5,Utilities,54.2484
CGAS3,Utilities,119.9836
CRIV3,Financial Services,6.0
CRPG5,Basic Materials,44.04
CRPG6,Basic Materials,38.1
CSRN3,Utilities,23.0851
CTKA4,Consumer Cyclical,15.47
CTNM3,Consumer Cyclical,8.9
CTSA3,Consumer Cyclical,2.7
CTSA4,Consumer Cyclical,1.94
DOHL4,Consumer Cyclical,5.65
DTCY3,Communication Services,5.0
EALT4,Industrials,8.27
EKTR4,Utilities,37.05
EMAE4,Utilities,63.51
ENGI3,Utilities,15.04
ENMT3,Utilities,61.96
ESTR4,Consumer Cyclical,6.3
FESA3,Basic Materials,57.01
HAGA4,Industrials,1.24
HBTS5,Real Estate,56.5
HETA4,Consumer Defensive,6.38
HOOT4,Consumer Cyclical,2.38
JOPA3,Consumer Defensive,21.0
JOPA4,Consumer Defensive,33.8
KLBN3,Basic Materials,4.78
MNDL3,Consumer Defensive,56.28
MNPR3,Consumer Defensive,14.58
MTSA4,Industrials,47.63
MWET4,Consumer Cyclical,8.57
PEAB4,Financial Services,73.6738
PNVL3,Healthcare,11.56
RANI3,Consumer Cyclical,11.94
RCSL3,Industrials,1.81
RCSL4,Industrials,1.16
REDE3,Utilities,5.71
RPAD5,Industrials,7.99
RPAD6,Industrials,7.65
WLMM3,Consumer Cyclical,27.0
WLMM4,Consumer Cyclical,39.08
SLED3,Consumer Cyclical,3.21
SOND5,Industrials,49.98
SOND6,Industrials,55.0
TELB3,Communication Services,16.0
TRPL3,Utilities,30.13
UNIP5,Basic Materials,84.97
USIM6,Basic Materials,16.31
VULC3,Consumer Cyclical,19.09
WHRL4,Consumer Cyclical,4.47
ANCR11B,Financial,3466.0
BBFI11B,Real Estate,955.0
CEOC11,Financial,46.93
CXCE11B,Financial,39.59
DRIT11B,Financial,85.21
EDFO11B,Real Estate,190.3182
FAMB11B,Real Estate,966.0
FCFL11,Financial,116.5
FIIP11B,Real Estate,170.01
ARNC34,Industrials,234.83
ABBV34,Healthcare,47.35
BBYY34,Consumer Cyclical,345.8
BCRI11,Real Estate,69.33
