Symbol,Sector,Current Price
BNBR3,Financial Services,92.9
BOBR4,Consumer Defensive,1.63
BRIV3,Financial Services,10.6
BRIV4,Financial Services,10.5
BSLI4,Financial Services,11.31
CBEE3,Utilities,15.0
CEEB3,Utilities,38.15
CEEB5,Utilities,42.06
CGAS3,Utilities,123.0
CRIV3,Financial Services,5.73
CRPG5,Basic Materials,40.98
CRPG6,Basic Materials,37.8
CSRN3,Utilities,24.1
CTKA4,Consumer Cyclical,14.0
CTNM3,Consumer Cyclical,9.5
CTSA3,Consumer Cyclical,2.64
CTSA4,Consumer Cyclical,1.75
DOHL4,Consumer Cyclical,5.69
DTCY3,Communication Services,5.06
EALT4,Industrials,8.03
EKTR4,Utilities,39.0
EMAE4,Utilities,62.46
ENGI3,Utilities,14.65
ENMT3,Utilities,59.5
ESTR4,Consumer Cyclical,6.3
FESA3,Basic Materials,63.99
HAGA4,Industrials,1.26
HBTS5,Real Estate,50.0
HETA4,Consumer Defensive,6.37
HOOT4,Consumer Cyclical,2.56
JOPA3,Consumer Defensive,21.0
JOPA4,Consumer Defensive,33.8
KLBN3,Basic Materials,4.78
MNDL3,Consumer Defensive,51.57
MNPR3,Consumer Defensive,15.95
MTSA4,Industrials,46.35
MWET4,Consumer Cyclical,8.32
PEAB4,Financial Services,73.6738
PNVL3,Healthcare,10.82
RANI3,Consumer Cyclical,11.56
RCSL3,Industrials,1.71
RCSL4,Industrials,1.03
REDE3,Utilities,5.72
RPAD5,Industrials,7.9
RPAD6,Industrials,7.6
WLMM3,Consumer Cyclical,27.0
WLMM4,Consumer Cyclical,39.01
SLED3,Consumer Cyclical,3.21
SOND5,Industrials,49.98
SOND6,Industrials,50.26
TELB3,Communication Services,16.5
TRPL3,Utilities,29.45
UNIP5,Basic Materials,82.99
USIM6,Basic Materials,16.31
VULC3,Consumer Cyclical,18.59
WHRL4,Consumer Cyclical,4.34
ANCR11B,Financial,3466.0
BBFI11B,Real Estate,935.0
CEOC11,Financial,46.61
CXCE11B,Financial,41.03
DRIT11B,Financial,84.99
EDFO11B,Real Estate,190.0
FAED11,Financial,155.04
FAMB11B,Real Estate,969.81
FCFL11,Financial,117.0
FIIP11B,Real Estate,176.49
ARNC34,Industrials,240.0
ABBV34,Healthcare,46.6
BBYY34,Consumer Cyclical,358.2
BCRI11,Real Estate,68.72
BIIB34,Healthcare,224.64
BLAK34,Financial Services,48.25
COWC34,Consumer Defensive,72.17
CTSH34,Technology,334.0
CVSH34,Healthcare,36.31
CXRI11,Financial,80.0
DEAI34,Industrials,174.25
FSLR34,Technology,397.71
GILD34,Healthcare,202.1
GOGL34,Communication Services,58.45
GOGL35,Communication Services,58.77
GPSI34,Consumer Cyclical,57.54
MACY34,Consumer Cyclical,57.42
MDTC34,Healthcare,182.16
RIGG34,Energy,39.24
ROST34,Consumer Cyclical,297.23
SCHW34,Financial Services,33.78
SSFO34,Technology,47.95
TMOS34,Healthcare,50.99
TRVC34,Financial Services,25.86
USSX34,Basic Materials,168.0
VLOE34,Energy,330.66
AALR3,Healthcare,9.62
AFLT3,Utilities,7.2
BGIP3,Financial Services,27.06
BNFS11,Financial,122.41
CBOP11,Financial,30.0
CEBR3,Utilities,16.21
CEDO3,Consumer Cyclical,16.0
FIIB11,Financial,519.52
FIVN11,Financial,4.0
FMOF11,Financial,58.0
GPAR3,Utilities,45.0
MAPT3,Financial Services,30.05
PABY11,Real Estate,24.7
PATI4,Basic Materials,33.0
PLRI11,Financial,17.99
PORD11,Real Estate,90.56
RBDS11,Financial,2.77
RPAD3,Industrials,8.02
SCPF11,Financial,4.97
AIGB34,Financial Services,307.83
DUKB34,Utilities,451.88
MOVI3,Industrials,9.85
BPAC11,Financial Services,30.24
PPLA11,Financial Services,3.85
AALL34,Industrials,59.85
GMCO34,Consumer Cyclical,38.29
UPAC34,Industrials,266.22
RNEW3,Utilities,1.15
RNEW4,Utilities,1.15
AZUL4,Industrials,13.51
KNIP11,Financial,92.9
TEND3,Real Estate,11.25
TSLA34,Consumer Cyclical,40.09
CRFB3,Consumer Defensive,9.56
IRBR3,Financial Services,39.76
GGRC11,Financial,114.29
GEPA3,Utilities,25.0
SAPR3,Utilities,4.47
CAML3,Consumer Defensive,7.27
VISC11,Financial,117.45
SUZB3,Basic Materials,57.47
SAPR11,Utilities,23.24
NEOE3,Utilities,17.87
FMXB34,Consumer Defensive,527.81
HONB34,Industrials,929.76
ALZR11,Financial,115.79
DDNB34,Basic Materials,387.27
UBSG34,Financial Services,125.97
TXRX4,Consumer Cyclical,3.03
OUJP11,Financial,97.61
BCIA11,Real Estate,99.85
BOXP34,Real Estate,28.59
GPRO34,Technology,14.26
MSPA3,Basic Materials,46.25
HFOF11,Financial,74.57
RBRF11,Financial,78.04
HAPV3,Financial Services,3.93
GPIV33,Financial Services,2.65
TAEE4,Utilities,11.2
RBRR11,Financial,88.72
MGFF11,Financial,64.03
HGRU11,Financial,129.51
ALUP3,Utilities,9.35
ALUP4,Utilities,9.43
LOGG3,Real Estate,18.91
KNHY11,Financial,102.73
FVPQ11,Financial,118.65
TAEE3,Utilities,11.11
VSHO11,Financial,77.62
AZEV3,Industrials,2.33
AHEB3,Consumer Cyclical,16.0
BALM3,Healthcare,10.9
BPAC3,Financial Services,13.62
EALT3,Industrials,7.55
HAGA3,Industrials,2.52
LIPR3,Utilities,70.18
PATI3,Basic Materials,25.15
PEAB3,Financial Services,33.9
BPAC5,Financial Services,8.2
BRGE11,Financial Services,11.02
BRGE12,Financial Services,10.79
BRGE6,Financial Services,11.03
ENMT4,Utilities,64.99
LUXM4,Industrials,19.0
MERC4,Financial Services,7.16
RSUL4,Consumer Cyclical,74.88
PATC11,Financial,72.99
BBDC3,Financial Services,12.67
VILG11,Financial,103.59
VAMO3,Industrials,8.64
MELI34,Consumer Cyclical,51.63
MOAR3,Industrials,398.99
RBVA11,Financial,110.95
VTLT11,Financial,96.38
GTWR11,Financial,81.19
HCTR11,Financial,31.98
HSML11,Financial,92.89
HABT11,Financial,90.08
RECT11,Financial,43.16
FISC11,Financial,157.77
FPNG11,Financial,86.01
FTCE11B,Financial,2900.89
HGFF11,Financial,84.37
HUSC11,Financial,112.0
JPPC11,Real Estate,200.0
KINP11,Financial,9.82
NVHO11,Financial,11.1
PRSN11B,Real Estate,1.48
RBRP11,Financial,52.56
RBRY11,Financial,100.35
SAIC11B,Financial,37.0
SHOP11,Financial,68.0
WTSP11B,Financial,35.6999
VIVA3,Consumer Cyclical,26.59
CEAB3,Consumer Cyclical,5.1
BMGB4,Financial Services,2.4
